DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,SYM_ROOT
2025-10-22,9:30:01.036073252,T,281.5,100,283.87,100,IBM
2025-10-22,9:30:01.119526863,T,281.5,100,283.87,200,IBM
2025-10-22,9:30:01.119953163,T,281.5,100,283.5,100,IBM
2025-10-22,9:30:01.120023080,T,281.5,100,282.74,100,IBM
2025-10-22,9:30:01.120063144,T,281.6,200,282.74,100,IBM
2025-10-22,9:30:01.120153359,T,281.6,200,283.5,100,IBM
2025-10-22,9:30:01.120213751,T,281.6,200,283.67,200,IBM
2025-10-22,9:30:01.120574379,T,281.6,200,282.33,100,IBM
2025-10-22,9:30:01.121175791,T,281.6,200,281.88,100,IBM
2025-10-22,9:30:01.121607033,T,281.6,200,281.79,100,IBM
2025-10-22,9:30:01.123370987,T,281.6,200,283.5,100,IBM
2025-10-22,9:30:01.123426226,T,281.5,100,283.5,100,IBM
2025-10-22,9:30:01.123451229,T,281.79,200,283.5,100,IBM
2025-10-22,9:30:01.123541485,T,281.6,100,283.5,100,IBM
2025-10-22,9:30:01.123561551,T,281.5,100,283.5,100,IBM
2025-10-22,9:30:01.139379135,T,281.5,100,282.79,100,IBM
2025-10-22,9:30:01.139384122,T,281.5,100,283.5,100,IBM
2025-10-22,9:30:01.139699860,T,281.5,100,284.0,100,IBM
2025-10-22,9:30:01.171956777,T,281.5,100,282.55,100,IBM
2025-10-22,9:30:01.171956777,T,281.5,100,282.2,100,IBM
2025-10-22,9:30:01.175550223,T,281.5,100,282.55,100,IBM
2025-10-22,9:30:01.200780592,T,279.51,100,282.55,100,IBM
2025-10-22,9:30:01.200860788,T,279.45,100,282.55,100,IBM
2025-10-22,9:30:01.200895572,T,280.0,100,282.55,100,IBM
2025-10-22,9:30:01.201111077,T,280.0,200,282.55,100,IBM
2025-10-22,9:30:01.206914899,T,281.12,100,282.55,100,IBM
2025-10-22,9:30:01.206914899,T,281.12,200,282.55,100,IBM
2025-10-22,9:30:01.214342652,T,281.12,200,283.5,100,IBM
2025-10-22,9:30:01.238284668,T,281.4,100,283.5,100,IBM
2025-10-22,9:30:01.238284668,T,281.4,200,283.5,100,IBM
2025-10-22,9:30:01.253069818,T,281.4,200,284.0,100,IBM
2025-10-22,9:30:01.305720117,T,281.4,200,283.5,100,IBM
2025-10-22,9:30:01.335952152,T,281.4,200,284.0,100,IBM
2025-10-22,9:30:02.086884909,T,281.4,200,283.5,100,IBM
2025-10-22,9:30:02.123832907,T,281.4,200,281.79,400,IBM
2025-10-22,9:30:02.144045992,T,281.4,100,281.79,400,IBM
2025-10-22,9:30:02.144061077,T,278.68,100,281.79,400,IBM
2025-10-22,9:30:02.144396834,T,281.35,100,281.79,400,IBM
2025-10-22,9:30:02.144692543,T,281.35,100,281.63,400,IBM
2025-10-22,9:30:02.253025551,T,281.35,100,282.04,100,IBM
2025-10-22,9:30:02.253055600,T,281.35,100,283.5,100,IBM
2025-10-22,9:30:02.253075632,T,278.68,100,283.5,100,IBM
2025-10-22,9:30:02.253105666,T,281.62,100,283.5,100,IBM
2025-10-22,9:30:02.253130743,T,278.68,100,283.5,100,IBM
2025-10-22,9:30:02.253165905,T,279.51,100,283.5,100,IBM
2025-10-22,9:30:02.281869208,T,278.68,100,283.5,100,IBM
2025-10-22,9:30:02.317413802,T,279.51,100,283.5,100,IBM
2025-10-22,9:30:02.426573760,T,278.68,100,283.5,100,IBM
2025-10-22,9:30:03.354307263,T,278.68,100,284.0,100,IBM
2025-10-22,9:30:03.717416608,T,278.68,200,284.0,100,IBM
2025-10-22,9:30:03.720483966,T,278.68,100,284.0,100,IBM
2025-10-22,9:30:12.943210324,T,278.44,100,284.0,100,IBM
2025-10-22,9:30:15.388140932,T,280.07,100,284.0,100,IBM
2025-10-22,9:30:15.388145926,T,280.07,100,283.07,100,IBM
2025-10-22,9:30:15.494178417,T,280.97,100,283.07,100,IBM
2025-10-22,9:30:15.494313770,T,280.97,100,284.0,100,IBM
2025-10-22,9:30:15.494358881,T,280.97,100,282.62,100,IBM
2025-10-22,9:30:15.494714666,T,281.74,100,282.62,100,IBM
2025-10-22,9:30:15.495135664,T,281.75,100,282.62,100,IBM
2025-10-22,9:30:15.495165815,T,281.75,100,282.47,100,IBM
2025-10-22,9:30:15.495185829,T,281.75,100,282.25,100,IBM
2025-10-22,9:30:15.495195836,T,281.74,100,282.25,100,IBM
2025-10-22,9:30:15.495195836,T,281.74,100,282.47,100,IBM
2025-10-22,9:30:15.495200817,T,278.94,100,282.47,100,IBM
2025-10-22,9:30:15.495200817,T,280.86,100,282.47,100,IBM
2025-10-22,9:30:15.495225957,T,280.86,100,282.25,100,IBM
2025-10-22,9:30:15.495256025,T,280.86,100,282.47,100,IBM
2025-10-22,9:30:15.495296133,T,278.94,100,282.47,100,IBM
2025-10-22,9:30:15.495346175,T,280.99,100,282.47,100,IBM
2025-10-22,9:30:15.495611866,T,278.94,100,282.47,100,IBM
2025-10-22,9:30:15.495646923,T,279.76,100,282.47,100,IBM
2025-10-22,9:30:15.495697053,T,281.36,100,282.47,100,IBM
2025-10-22,9:30:15.515163409,T,281.36,100,283.64,100,IBM
2025-10-22,9:30:15.762161418,T,281.36,100,284.0,100,IBM
2025-10-22,9:30:15.762211490,T,281.36,100,283.0,100,IBM
2025-10-22,9:30:15.762276647,T,281.36,100,284.0,100,IBM
2025-10-22,9:30:15.762306723,T,281.35,200,284.0,100,IBM
2025-10-22,9:30:15.762321777,T,281.35,200,283.47,100,IBM
2025-10-22,9:30:15.762386884,T,281.35,100,283.47,100,IBM
2025-10-22,9:30:15.762757835,T,281.35,100,284.0,100,IBM
2025-10-22,9:30:15.762772805,T,280.45,100,284.0,100,IBM
2025-10-22,9:30:15.762772805,T,281.35,100,284.0,100,IBM
2025-10-22,9:30:15.762787874,T,281.88,100,284.0,100,IBM
2025-10-22,9:30:15.762813002,T,281.88,100,283.71,100,IBM
2025-10-22,9:30:15.766927753,T,281.88,100,284.0,100,IBM
2025-10-22,9:30:15.815463237,T,279.51,100,284.0,100,IBM
2025-10-22,9:30:15.815483351,T,278.92,100,284.0,100,IBM
2025-10-22,9:30:15.819723375,T,279.51,100,284.0,100,IBM
2025-10-22,9:30:15.976772292,T,278.92,100,284.0,100,IBM
2025-10-22,9:30:16.012387119,T,279.51,100,284.0,100,IBM
2025-10-22,9:30:16.145138235,T,278.92,100,284.0,100,IBM
2025-10-22,9:30:16.186797338,T,279.51,100,284.0,100,IBM
2025-10-22,9:30:16.386577986,T,278.92,100,284.0,100,IBM
2025-10-22,9:30:16.530435473,T,279.51,100,284.0,100,IBM
2025-10-22,9:30:16.696029698,T,278.92,100,284.0,100,IBM
2025-10-22,9:30:16.697683705,T,279.51,100,284.0,100,IBM
2025-10-22,9:30:16.875376651,T,278.92,100,284.0,100,IBM
2025-10-22,9:30:16.875662404,T,279.51,100,284.0,100,IBM
2025-10-22,9:30:18.691685659,T,278.92,100,284.0,100,IBM
2025-10-22,9:30:18.692161800,T,279.51,100,284.0,100,IBM
2025-10-22,9:30:18.927276563,T,278.92,100,284.0,100,IBM
2025-10-22,9:30:19.074582245,T,279.51,100,284.0,100,IBM
2025-10-22,9:30:22.583520854,T,281.48,100,284.0,100,IBM
2025-10-22,9:30:22.583530906,T,281.64,100,284.0,100,IBM
2025-10-22,9:30:22.583530906,T,281.48,100,284.0,100,IBM
2025-10-22,9:30:22.583566066,T,281.65,100,284.0,100,IBM
2025-10-22,9:30:22.583591047,T,281.8,100,284.0,100,IBM
2025-10-22,9:30:22.583601050,T,281.81,100,284.0,100,IBM
2025-10-22,9:30:22.584197548,T,281.81,100,283.5,100,IBM
2025-10-22,9:30:22.584302761,T,281.81,100,283.5,200,IBM
2025-10-22,9:30:22.584478351,T,281.81,100,282.65,100,IBM
2025-10-22,9:30:22.584478351,T,281.81,100,282.65,200,IBM
2025-10-22,9:30:22.584478351,T,281.65,200,282.65,200,IBM
2025-10-22,9:30:22.584508303,T,281.65,200,282.65,100,IBM
2025-10-22,9:30:22.584528356,T,281.65,200,283.5,100,IBM
2025-10-22,9:30:22.584818965,T,281.65,100,283.5,100,IBM
2025-10-22,9:30:22.600897284,T,280.0,100,283.5,100,IBM
2025-10-22,9:30:22.604325431,T,279.51,100,283.5,100,IBM
2025-10-22,9:30:22.605242574,T,280.0,100,283.5,100,IBM
2025-10-22,9:30:22.683840126,T,279.51,100,283.5,100,IBM
2025-10-22,9:30:23.095825484,T,279.51,100,282.65,100,IBM
2025-10-22,9:30:25.022782814,T,279.65,100,282.65,100,IBM
2025-10-22,9:30:25.028115479,T,279.83,100,282.65,100,IBM
2025-10-22,9:30:25.064261556,T,280.0,100,282.65,100,IBM
2025-10-22,9:30:25.084670088,T,280.01,100,282.65,100,IBM
2025-10-22,9:30:25.096994435,T,280.19,100,282.65,100,IBM
2025-10-22,9:30:25.109494212,T,280.37,100,282.65,100,IBM
2025-10-22,9:30:25.126264131,T,280.55,100,282.65,100,IBM
2025-10-22,9:30:25.366425813,T,280.0,100,282.65,100,IBM
2025-10-22,9:30:25.498655617,T,280.73,100,282.65,100,IBM
2025-10-22,9:30:27.556860676,T,280.0,100,282.65,100,IBM
2025-10-22,9:30:27.557527295,T,280.0,100,282.98,100,IBM
2025-10-22,9:30:27.557557336,T,280.73,100,282.98,100,IBM
2025-10-22,9:30:28.136681018,T,280.0,100,282.98,100,IBM
2025-10-22,9:30:28.595949367,T,280.73,100,282.98,100,IBM
2025-10-22,9:30:29.650154210,T,280.19,100,282.98,100,IBM
2025-10-22,9:30:29.650184272,T,279.65,100,282.98,100,IBM
2025-10-22,9:30:29.650505055,T,280.19,100,282.98,100,IBM
2025-10-22,9:30:29.650505055,T,281.6,100,282.98,100,IBM
2025-10-22,9:30:29.650535127,T,281.61,100,282.98,100,IBM
2025-10-22,9:30:29.652524804,T,281.61,200,282.98,100,IBM
2025-10-22,9:30:30.012687227,T,281.62,100,282.98,100,IBM
2025-10-22,9:30:36.506386563,T,281.67,100,282.98,100,IBM
2025-10-22,9:30:36.514215256,T,281.09,100,282.98,100,IBM
2025-10-22,9:30:36.514230215,T,281.09,100,282.83,100,IBM
2025-10-22,9:30:36.522103968,T,281.09,100,282.98,100,IBM
2025-10-22,9:30:36.522113997,T,281.65,100,282.98,100,IBM
2025-10-22,9:30:36.524239081,T,281.09,100,282.98,100,IBM
2025-10-22,9:30:37.024926051,T,281.67,100,282.98,100,IBM
