DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,SYM_ROOT
2025-12-08,9:30:00.536937570,T,308.0,200,310.0,80,IBM
2025-12-08,9:30:00.543392941,T,308.0,160,310.0,80,IBM
2025-12-08,9:30:00.553191308,T,308.0,200,310.0,80,IBM
2025-12-08,9:30:00.553211422,T,308.5,40,310.0,80,IBM
2025-12-08,9:30:00.554248787,T,308.33,80,310.0,80,IBM
2025-12-08,9:30:00.554268905,T,308.33,40,310.0,80,IBM
2025-12-08,9:30:00.654357169,T,308.0,160,310.0,80,IBM
2025-12-08,9:30:01.203815104,T,308.59,40,310.0,80,IBM
2025-12-08,9:30:01.213392782,T,308.0,160,310.0,80,IBM
2025-12-08,9:30:01.213397810,T,309.0,40,310.0,80,IBM
2025-12-08,9:30:01.213818803,T,309.0,80,310.0,80,IBM
2025-12-08,9:30:01.225276110,T,309.09,40,310.0,80,IBM
2025-12-08,9:30:01.228478755,T,309.09,80,310.0,80,IBM
2025-12-08,9:30:01.578401712,T,309.09,40,310.0,80,IBM
2025-12-08,9:30:01.578401712,T,308.0,160,310.0,80,IBM
2025-12-08,9:30:01.578421696,T,308.0,160,309.51,80,IBM
2025-12-08,9:30:01.598419310,T,308.0,160,309.57,40,IBM
2025-12-08,9:30:01.727992780,T,308.0,160,309.36,40,IBM
2025-12-08,9:30:01.736432913,T,308.0,160,309.57,40,IBM
2025-12-08,9:30:02.029731017,T,308.0,160,310.0,80,IBM
2025-12-08,9:30:02.029731017,T,308.0,160,309.35,40,IBM
2025-12-08,9:30:02.177983927,T,308.0,160,310.0,80,IBM
2025-12-08,9:30:02.188308597,T,308.0,160,309.35,40,IBM
2025-12-08,9:30:02.302124482,T,306.6,1000,309.35,40,IBM
2025-12-08,9:30:02.330757651,T,306.6,1000,310.0,80,IBM
2025-12-08,9:30:02.372096011,T,306.6,1000,309.35,40,IBM
2025-12-08,9:30:03.186670146,T,306.6,1000,310.0,80,IBM
2025-12-08,9:30:03.202868681,T,306.6,1000,309.36,40,IBM
2025-12-08,9:30:03.305422802,T,306.6,1000,310.0,80,IBM
2025-12-08,9:30:03.325079663,T,306.6,1000,309.35,40,IBM
2025-12-08,9:30:03.338952594,T,306.6,1000,310.0,80,IBM
2025-12-08,9:30:03.365751399,T,306.6,1000,309.36,40,IBM
2025-12-08,9:30:03.470726371,T,306.6,1000,310.0,80,IBM
2025-12-08,9:30:03.471553354,T,306.6,1000,309.35,40,IBM
2025-12-08,9:30:03.574764045,T,306.6,1000,310.0,80,IBM
2025-12-08,9:30:03.590260891,T,306.6,1000,309.35,40,IBM
2025-12-08,9:30:03.799188229,T,306.6,1000,310.0,80,IBM
2025-12-08,9:30:03.847257726,T,306.6,1000,309.36,40,IBM
2025-12-08,9:30:03.947787412,T,308.26,40,309.36,40,IBM
2025-12-08,9:30:03.947797211,T,308.26,40,310.0,80,IBM
2025-12-08,9:30:03.947802065,T,308.79,40,310.0,80,IBM
2025-12-08,9:30:03.947842152,T,308.79,40,309.62,40,IBM
2025-12-08,9:30:03.948889621,T,308.26,80,309.62,40,IBM
2025-12-08,9:30:03.949270556,T,308.78,40,309.62,40,IBM
2025-12-08,9:30:03.962186344,T,308.26,80,309.62,40,IBM
2025-12-08,9:30:03.962186344,T,309.13,40,309.62,40,IBM
2025-12-08,9:30:03.962607313,T,309.13,80,309.62,40,IBM
2025-12-08,9:30:04.147056381,T,309.13,40,309.62,40,IBM
2025-12-08,9:30:04.937057067,T,309.13,120,309.62,40,IBM
2025-12-08,9:30:05.024655613,T,309.13,120,309.85,40,IBM
2025-12-08,9:30:05.024690746,T,309.14,40,309.85,40,IBM
2025-12-08,9:30:05.025597821,T,309.14,80,309.85,40,IBM
2025-12-08,9:30:05.227819224,T,309.14,40,309.85,40,IBM
2025-12-08,9:30:05.242113299,T,309.15,40,309.85,40,IBM
2025-12-08,9:30:05.370148039,T,308.39,40,309.85,40,IBM
2025-12-08,9:30:05.370378610,T,309.15,40,309.85,40,IBM
2025-12-08,9:30:05.389699673,T,308.39,40,309.85,40,IBM
2025-12-08,9:30:05.390195821,T,309.15,40,309.85,40,IBM
2025-12-08,9:30:05.390616801,T,309.15,80,309.85,40,IBM
2025-12-08,9:30:05.497506275,T,309.15,160,309.85,40,IBM
2025-12-08,9:30:05.759590234,T,309.15,120,309.85,40,IBM
2025-12-08,9:30:05.944821094,T,309.15,40,309.85,40,IBM
2025-12-08,9:30:06.089219926,T,309.15,40,310.0,120,IBM
2025-12-08,9:30:06.089290101,T,309.15,40,310.0,80,IBM
2025-12-08,9:30:06.089315141,T,309.16,40,310.0,80,IBM
2025-12-08,9:30:06.089335109,T,309.17,80,310.0,80,IBM
2025-12-08,9:30:06.089355242,T,309.39,40,310.0,80,IBM
2025-12-08,9:30:06.089781172,T,309.39,80,310.0,80,IBM
2025-12-08,9:30:06.089791239,T,309.39,40,310.0,80,IBM
2025-12-08,9:30:06.089796309,T,309.61,40,310.0,80,IBM
2025-12-08,9:30:06.090212244,T,309.39,80,310.0,80,IBM
2025-12-08,9:30:06.094317069,T,309.39,40,310.0,80,IBM
2025-12-08,9:30:06.101624467,T,309.17,40,310.0,80,IBM
2025-12-08,9:30:06.101644477,T,306.83,40,310.0,80,IBM
