DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,SYM_ROOT
2025-11-24,9:30:00.243025691,T,298.6,40,299.6,80,IBM
2025-11-24,9:30:00.243025691,T,298.6,40,299.6,120,IBM
2025-11-24,9:30:00.263023309,T,298.6,40,299.75,40,IBM
2025-11-24,9:30:00.276555664,T,298.6,40,300.0,40,IBM
2025-11-24,9:30:01.195217887,T,298.6,40,300.0,40,IBM
2025-11-24,9:30:01.215360633,T,298.6,80,300.0,40,IBM
2025-11-24,9:30:01.215460817,T,298.6,80,298.97,80,IBM
2025-11-24,9:30:01.219871361,T,298.6,80,300.0,40,IBM
2025-11-24,9:30:01.227334137,T,298.6,120,300.0,40,IBM
2025-11-24,9:30:01.244535109,T,298.6,80,300.0,40,IBM
2025-11-24,9:30:01.611674206,T,298.6,80,300.0,80,IBM
2025-11-24,9:30:01.885806805,T,298.6,80,299.81,40,IBM
2025-11-24,9:30:02.318847727,T,298.6,40,299.81,40,IBM
2025-11-24,9:30:02.318852724,T,298.2,120,299.81,40,IBM
2025-11-24,9:30:02.318852724,T,298.2,80,299.81,40,IBM
2025-11-24,9:30:02.318872832,T,298.2,80,298.6,80,IBM
2025-11-24,9:30:02.319484272,T,298.2,80,299.81,40,IBM
2025-11-24,9:30:02.319759906,T,298.2,80,298.75,40,IBM
2025-11-24,9:30:02.323969859,T,298.2,80,299.81,40,IBM
2025-11-24,9:30:02.336148877,T,298.2,80,298.94,40,IBM
2025-11-24,9:30:02.338965668,T,298.2,80,299.81,40,IBM
2025-11-24,9:30:02.463517181,T,298.2,80,298.88,80,IBM
2025-11-24,9:30:02.483519735,T,298.2,80,299.76,40,IBM
2025-11-24,9:30:02.563575386,T,298.2,80,299.81,40,IBM
2025-11-24,9:30:02.924454480,T,298.2,120,299.81,40,IBM
2025-11-24,9:30:03.319264389,T,298.2,240,299.81,40,IBM
2025-11-24,9:30:04.371789986,T,298.2,200,299.81,40,IBM
2025-11-24,9:30:04.551362420,T,298.2,160,299.81,40,IBM
2025-11-24,9:30:05.031625770,T,298.2,160,299.81,80,IBM
2025-11-24,9:30:06.678847279,T,298.2,320,299.81,80,IBM
2025-11-24,9:30:08.182025763,T,298.2,320,299.77,120,IBM
2025-11-24,9:30:08.272646438,T,298.2,160,299.77,120,IBM
2025-11-24,9:30:08.775714152,T,298.2,120,299.77,120,IBM
2025-11-24,9:30:10.052107834,T,298.2,400,299.77,120,IBM
2025-11-24,9:30:12.198357421,T,298.2,440,299.77,120,IBM
2025-11-24,9:30:14.160358297,T,298.2,440,299.02,40,IBM
2025-11-24,9:30:15.889234187,T,298.2,440,299.02,80,IBM
2025-11-24,9:30:16.832475066,T,298.2,440,299.02,40,IBM
2025-11-24,9:30:20.955640597,T,298.2,440,298.57,40,IBM
2025-11-24,9:30:25.010664265,T,298.2,440,298.56,40,IBM
2025-11-24,9:30:25.020011624,T,298.2,360,298.56,40,IBM
2025-11-24,9:30:25.020011624,T,298.2,280,298.56,40,IBM
2025-11-24,9:30:25.020016483,T,298.2,40,298.56,40,IBM
2025-11-24,9:30:25.020031482,T,298.19,40,298.56,40,IBM
2025-11-24,9:30:25.020056503,T,298.19,40,298.38,40,IBM
2025-11-24,9:30:25.020292100,T,298.15,40,298.38,40,IBM
2025-11-24,9:30:25.020497561,T,298.1,120,298.38,40,IBM
2025-11-24,9:30:25.020868444,T,298.1,120,298.38,80,IBM
2025-11-24,9:30:25.020878527,T,298.02,40,298.38,80,IBM
2025-11-24,9:30:25.020898572,T,298.02,40,298.11,80,IBM
2025-11-24,9:30:25.021294503,T,298.1,40,298.11,80,IBM
2025-11-24,9:30:25.021315186,T,298.02,40,298.11,80,IBM
2025-11-24,9:30:25.021354634,T,298.02,40,298.11,120,IBM
2025-11-24,9:30:25.021434841,T,298.02,40,298.1,80,IBM
2025-11-24,9:30:25.021434841,T,298.02,40,298.1,120,IBM
2025-11-24,9:30:25.021590246,T,298.02,40,298.1,40,IBM
2025-11-24,9:30:25.021775639,T,298.02,80,298.1,40,IBM
2025-11-24,9:30:25.025063541,T,298.02,40,298.1,40,IBM
2025-11-24,9:30:25.025063541,T,297.7,80,298.1,40,IBM
2025-11-24,9:30:25.025118624,T,297.7,80,298.9,40,IBM
2025-11-24,9:30:25.025594704,T,297.7,120,298.9,40,IBM
2025-11-24,9:30:25.031473757,T,297.7,120,298.6,160,IBM
2025-11-24,9:30:25.033824397,T,297.7,120,298.56,80,IBM
2025-11-24,9:30:25.039267309,T,297.7,80,298.56,80,IBM
2025-11-24,9:30:25.049767282,T,297.7,80,298.56,40,IBM
2025-11-24,9:30:25.056718837,T,297.7,80,298.56,80,IBM
2025-11-24,9:30:25.058613415,T,297.7,80,298.56,40,IBM
2025-11-24,9:30:25.233690389,T,297.7,80,298.56,80,IBM
2025-11-24,9:30:25.233750283,T,297.7,80,298.56,120,IBM
2025-11-24,9:30:25.233810455,T,297.7,80,298.54,40,IBM
2025-11-24,9:30:25.234025980,T,297.7,80,298.54,80,IBM
2025-11-24,9:30:25.234246453,T,297.7,80,298.54,120,IBM
2025-11-24,9:30:25.253803011,T,297.7,80,298.54,80,IBM
2025-11-24,9:30:25.253818064,T,297.7,80,298.54,40,IBM
2025-11-24,9:30:25.650467394,T,297.7,80,297.92,40,IBM
2025-11-24,9:30:25.650552541,T,297.0,80,297.92,40,IBM
