DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,SYM_ROOT
2025-10-15,9:30:01.026165132,T,276.0,100,281.64,100,IBM
2025-10-15,9:30:01.042062957,T,276.0,100,278.8,500,IBM
2025-10-15,9:30:01.126398697,T,275.46,100,278.8,500,IBM
2025-10-15,9:30:01.155502970,T,275.46,100,278.77,100,IBM
2025-10-15,9:30:01.155508040,T,275.46,100,278.77,200,IBM
2025-10-15,9:30:01.155538029,T,275.46,100,278.77,500,IBM
2025-10-15,9:30:01.155558065,T,275.46,100,278.77,600,IBM
2025-10-15,9:30:01.155573211,T,275.46,100,278.77,700,IBM
2025-10-15,9:30:01.155593204,T,275.46,100,278.77,800,IBM
2025-10-15,9:30:01.155613220,T,275.46,100,278.77,900,IBM
2025-10-15,9:30:01.155628342,T,275.46,100,278.77,1200,IBM
2025-10-15,9:30:01.155648314,T,275.46,100,278.77,1500,IBM
2025-10-15,9:30:01.155673412,T,275.46,100,278.77,1600,IBM
2025-10-15,9:30:01.155678419,T,275.46,100,278.77,1700,IBM
2025-10-15,9:30:01.155728531,T,275.46,100,278.77,2000,IBM
2025-10-15,9:30:01.155898976,T,275.46,100,278.77,2100,IBM
2025-10-15,9:30:01.155999859,T,275.46,100,278.77,2200,IBM
2025-10-15,9:30:01.156074346,T,275.46,100,278.77,2300,IBM
2025-10-15,9:30:01.163201254,T,276.0,100,278.77,2300,IBM
2025-10-15,9:30:01.225730189,T,276.0,100,278.77,2400,IBM
2025-10-15,9:30:01.225810353,T,276.0,100,278.77,2500,IBM
2025-10-15,9:30:01.373156079,T,276.0,100,278.77,2400,IBM
2025-10-15,9:30:01.373156079,T,276.0,100,278.77,2300,IBM
2025-10-15,9:30:01.373221554,T,276.0,100,278.77,2000,IBM
2025-10-15,9:30:01.373226308,T,276.0,100,278.77,1900,IBM
2025-10-15,9:30:01.373276370,T,276.0,100,278.77,1800,IBM
2025-10-15,9:30:01.373276370,T,276.0,100,278.77,1700,IBM
2025-10-15,9:30:01.373306454,T,276.0,100,278.77,1600,IBM
2025-10-15,9:30:01.373311561,T,276.0,100,278.77,1300,IBM
2025-10-15,9:30:01.373321580,T,276.0,100,278.77,1000,IBM
2025-10-15,9:30:01.373321580,T,276.0,100,278.77,900,IBM
2025-10-15,9:30:01.373336555,T,276.0,100,278.77,600,IBM
2025-10-15,9:30:01.373336555,T,276.0,100,278.77,500,IBM
2025-10-15,9:30:01.373341545,T,276.0,100,278.77,400,IBM
2025-10-15,9:30:01.373346613,T,276.0,100,278.77,300,IBM
2025-10-15,9:30:01.373356763,T,276.0,100,278.77,200,IBM
2025-10-15,9:30:01.373386741,T,276.0,100,278.61,2000,IBM
2025-10-15,9:30:01.373411796,T,276.0,100,278.61,2300,IBM
2025-10-15,9:30:01.385826322,T,276.0,100,278.61,2400,IBM
2025-10-15,9:30:01.461631789,T,276.0,100,278.61,2500,IBM
2025-10-15,9:30:01.461661851,T,276.0,100,278.61,500,IBM
2025-10-15,9:30:01.461661851,T,276.0,100,278.61,100,IBM
2025-10-15,9:30:01.461666844,T,276.0,100,278.55,100,IBM
2025-10-15,9:30:01.461676830,T,276.0,100,278.48,100,IBM
2025-10-15,9:30:01.461696949,T,276.0,100,277.95,2000,IBM
2025-10-15,9:30:01.461701892,T,276.0,100,277.95,2300,IBM
2025-10-15,9:30:01.461782107,T,276.0,100,277.95,2200,IBM
2025-10-15,9:30:01.496424585,T,276.0,100,277.95,2300,IBM
2025-10-15,9:30:02.166530019,T,276.0,100,277.95,2400,IBM
2025-10-15,9:30:02.166540009,T,276.0,100,277.95,400,IBM
2025-10-15,9:30:02.166545048,T,276.0,100,277.95,100,IBM
2025-10-15,9:30:02.166570079,T,276.0,100,277.73,2000,IBM
2025-10-15,9:30:02.166600203,T,276.0,100,277.73,2200,IBM
2025-10-15,9:30:02.166635206,T,276.0,100,277.73,2300,IBM
2025-10-15,9:30:02.166635206,T,276.0,100,277.73,300,IBM
2025-10-15,9:30:02.166640394,T,276.0,100,277.95,100,IBM
2025-10-15,9:30:02.166640394,T,276.0,100,277.94,100,IBM
2025-10-15,9:30:02.166665325,T,276.0,100,277.95,100,IBM
2025-10-15,9:30:02.166670325,T,276.0,100,277.51,2000,IBM
2025-10-15,9:30:02.166690314,T,276.0,100,277.51,2200,IBM
2025-10-15,9:30:02.167432140,T,276.0,100,277.51,2300,IBM
2025-10-15,9:30:02.211953329,T,276.0,100,277.51,300,IBM
2025-10-15,9:30:02.211953329,T,276.0,100,277.51,100,IBM
2025-10-15,9:30:02.211958190,T,276.0,100,278.8,500,IBM
