DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,SYM_ROOT
2025-12-15,9:30:00.473063048,T,304.64,40,311.5,40,IBM
2025-12-15,9:30:01.147468531,T,307.9,160,311.5,40,IBM
2025-12-15,9:30:01.212363351,T,307.9,160,310.12,80,IBM
2025-12-15,9:30:01.217415109,T,304.64,40,310.12,80,IBM
2025-12-15,9:30:01.217415109,T,309.0,80,310.12,80,IBM
2025-12-15,9:30:01.217420372,T,304.64,40,310.12,80,IBM
2025-12-15,9:30:01.217445181,T,304.64,40,309.44,80,IBM
2025-12-15,9:30:01.218327223,T,304.64,40,309.01,40,IBM
2025-12-15,9:30:01.218337263,T,305.0,80,309.01,40,IBM
2025-12-15,9:30:01.218412426,T,305.0,120,309.01,40,IBM
2025-12-15,9:30:01.218437549,T,304.64,40,309.01,40,IBM
2025-12-15,9:30:01.218462646,T,308.4,80,309.01,40,IBM
2025-12-15,9:30:01.218517772,T,304.64,40,309.01,40,IBM
2025-12-15,9:30:01.218542836,T,308.53,80,309.01,40,IBM
2025-12-15,9:30:01.218753282,T,308.53,80,309.01,80,IBM
2025-12-15,9:30:01.218818461,T,308.53,80,309.01,40,IBM
2025-12-15,9:30:01.218843536,T,308.53,80,309.44,120,IBM
2025-12-15,9:30:01.218968768,T,308.53,80,309.44,80,IBM
2025-12-15,9:30:01.219003889,T,304.64,40,309.44,80,IBM
2025-12-15,9:30:01.219028978,T,309.0,80,309.44,80,IBM
2025-12-15,9:30:01.221113966,T,304.64,40,309.44,80,IBM
2025-12-15,9:30:01.237442829,T,304.64,40,311.5,40,IBM
2025-12-15,9:30:01.300548064,T,305.0,40,311.5,40,IBM
2025-12-15,9:30:01.359703889,T,305.0,40,309.34,280,IBM
2025-12-15,9:30:01.810547196,T,304.64,80,309.34,280,IBM
2025-12-15,9:30:01.811243758,T,305.0,40,309.34,280,IBM
2025-12-15,9:30:01.812271288,T,304.64,80,309.34,280,IBM
2025-12-15,9:30:01.895639713,T,304.64,80,309.12,40,IBM
2025-12-15,9:30:01.895664809,T,304.64,80,309.34,280,IBM
2025-12-15,9:30:01.895669825,T,304.64,80,308.92,40,IBM
2025-12-15,9:30:01.903598619,T,304.64,80,309.34,280,IBM
2025-12-15,9:30:01.904310408,T,304.64,80,309.11,40,IBM
2025-12-15,9:30:01.917847536,T,306.59,160,309.11,40,IBM
2025-12-15,9:30:02.005721813,T,306.59,160,309.11,80,IBM
2025-12-15,9:30:02.005736792,T,306.59,160,309.11,40,IBM
2025-12-15,9:30:02.005736792,T,306.59,160,308.74,40,IBM
2025-12-15,9:30:02.009811490,T,306.59,160,309.11,40,IBM
2025-12-15,9:30:02.010312683,T,306.59,160,308.75,40,IBM
2025-12-15,9:30:02.017850659,T,306.77,160,308.75,40,IBM
2025-12-15,9:30:02.020131060,T,306.77,160,308.75,80,IBM
2025-12-15,9:30:02.117838685,T,306.98,160,308.75,80,IBM
2025-12-15,9:30:02.127431459,T,306.98,160,308.75,40,IBM
2025-12-15,9:30:02.217836691,T,308.01,160,308.75,40,IBM
2025-12-15,9:30:02.271755140,T,308.01,160,309.34,320,IBM
2025-12-15,9:30:02.271780122,T,308.01,160,309.34,280,IBM
2025-12-15,9:30:02.271800211,T,308.16,80,309.34,280,IBM
2025-12-15,9:30:02.271820272,T,308.37,40,309.34,280,IBM
2025-12-15,9:30:02.272953000,T,308.37,200,309.34,280,IBM
2025-12-15,9:30:02.275103060,T,308.37,160,309.34,280,IBM
2025-12-15,9:30:04.460359966,T,308.42,160,309.34,280,IBM
2025-12-15,9:30:04.460760926,T,308.47,160,309.34,280,IBM
2025-12-15,9:30:04.461397477,T,308.8,160,309.34,280,IBM
2025-12-15,9:30:04.461823512,T,308.8,160,309.34,320,IBM
2025-12-15,9:30:04.462028996,T,308.85,160,309.34,320,IBM
2025-12-15,9:30:04.468649774,T,306.53,40,309.34,320,IBM
2025-12-15,9:30:04.468670023,T,306.53,40,309.24,80,IBM
2025-12-15,9:30:04.468674846,T,306.53,40,308.86,40,IBM
2025-12-15,9:30:04.468810145,T,306.53,40,309.24,80,IBM
2025-12-15,9:30:04.468845154,T,307.94,40,309.24,80,IBM
2025-12-15,9:30:04.469947861,T,306.53,40,309.24,80,IBM
2025-12-15,9:30:04.488667397,T,306.53,40,309.34,280,IBM
2025-12-15,9:30:04.569549908,T,308.33,40,309.34,280,IBM
2025-12-15,9:30:05.038100295,T,306.53,40,309.34,280,IBM
2025-12-15,9:30:05.469071313,T,308.32,160,309.34,280,IBM
2025-12-15,9:30:11.714699309,T,308.33,40,309.34,280,IBM
2025-12-15,9:30:11.715461136,T,308.33,160,309.34,280,IBM
2025-12-15,9:30:11.928067211,T,308.33,120,309.34,280,IBM
2025-12-15,9:30:14.742121184,T,308.35,40,309.34,280,IBM
2025-12-15,9:30:14.742837907,T,308.35,160,309.34,280,IBM
2025-12-15,9:30:14.766784930,T,308.35,120,309.34,280,IBM
2025-12-15,9:30:14.766784930,T,308.65,40,309.34,280,IBM
2025-12-15,9:30:14.767536720,T,308.65,80,309.34,280,IBM
2025-12-15,9:30:14.767972664,T,308.65,40,309.34,280,IBM
2025-12-15,9:30:14.768022840,T,308.65,40,309.34,240,IBM
2025-12-15,9:30:14.768047847,T,308.65,40,309.34,200,IBM
2025-12-15,9:30:14.768053669,T,308.65,40,311.0,40,IBM
2025-12-15,9:30:14.768087985,T,308.65,40,309.34,40,IBM
2025-12-15,9:30:14.768098168,T,309.25,80,309.34,40,IBM
2025-12-15,9:30:14.768148086,T,309.2,40,309.34,40,IBM
2025-12-15,9:30:14.768153152,T,309.2,40,311.0,40,IBM
2025-12-15,9:30:14.768188253,T,309.24,280,311.0,40,IBM
2025-12-15,9:30:14.768238763,T,309.2,40,311.0,40,IBM
2025-12-15,9:30:14.768589213,T,308.16,40,311.0,40,IBM
2025-12-15,9:30:14.769521410,T,307.94,40,311.0,40,IBM
2025-12-15,9:30:14.777410219,T,307.94,40,311.02,40,IBM
2025-12-15,9:30:14.778908808,T,307.94,40,310.5,40,IBM
2025-12-15,9:30:14.778933868,T,307.94,40,311.02,40,IBM
2025-12-15,9:30:14.778953815,T,309.38,40,311.02,40,IBM
2025-12-15,9:30:14.780091555,T,307.94,40,311.02,40,IBM
2025-12-15,9:30:14.980523798,T,306.53,40,311.02,40,IBM
2025-12-15,9:30:15.284422159,T,306.12,80,311.02,40,IBM
2025-12-15,9:30:15.284452298,T,306.12,40,311.02,40,IBM
2025-12-15,9:30:15.496051050,T,305.96,40,311.02,40,IBM
2025-12-15,9:30:16.453364916,T,305.96,40,310.49,40,IBM
2025-12-15,9:30:16.454076669,T,305.94,80,310.49,40,IBM
2025-12-15,9:30:16.454527767,T,305.94,80,311.0,40,IBM
2025-12-15,9:30:17.353758488,T,307.63,40,311.0,40,IBM
2025-12-15,9:30:17.353778423,T,307.63,40,311.02,40,IBM
2025-12-15,9:30:17.453761448,T,308.82,40,311.02,40,IBM
2025-12-15,9:30:17.621851507,T,308.82,80,311.02,40,IBM
2025-12-15,9:30:18.030669740,T,308.82,40,311.02,40,IBM
2025-12-15,9:30:24.613315199,T,306.53,40,311.02,40,IBM
2025-12-15,9:30:25.899472031,T,305.94,120,311.02,40,IBM
2025-12-15,9:30:25.902313831,T,305.94,80,311.02,40,IBM
2025-12-15,9:30:29.561048603,T,305.94,80,311.0,40,IBM
2025-12-15,9:30:29.874344392,T,305.94,120,311.0,40,IBM
2025-12-15,9:30:29.874379473,T,306.28,40,311.0,40,IBM
2025-12-15,9:30:29.878820022,T,306.46,40,311.0,40,IBM
2025-12-15,9:30:29.891274712,T,306.53,40,311.0,40,IBM
2025-12-15,9:30:29.926899451,T,306.64,40,311.0,40,IBM
2025-12-15,9:30:29.929104764,T,306.82,40,311.0,40,IBM
2025-12-15,9:30:29.949999526,T,307.0,40,311.0,40,IBM
2025-12-15,9:30:29.976151752,T,307.18,40,311.0,40,IBM
2025-12-15,9:30:30.020096331,T,307.18,40,309.75,80,IBM
2025-12-15,9:30:30.020522335,T,307.18,40,309.75,120,IBM
2025-12-15,9:30:30.020547408,T,307.18,40,309.64,40,IBM
2025-12-15,9:30:30.174864737,T,307.18,40,309.75,120,IBM
2025-12-15,9:30:30.175095314,T,307.18,40,309.75,80,IBM
2025-12-15,9:30:32.119649548,T,309.03,40,309.75,80,IBM
2025-12-15,9:30:32.123528897,T,309.03,40,309.64,40,IBM
2025-12-15,9:30:32.123553877,T,307.18,40,309.64,40,IBM
2025-12-15,9:30:32.123949834,T,307.18,40,309.64,80,IBM
2025-12-15,9:30:32.186087761,T,307.36,40,309.64,80,IBM
2025-12-15,9:30:32.369539586,T,308.84,40,309.64,80,IBM
2025-12-15,9:30:32.560654643,T,307.36,40,309.64,80,IBM
2025-12-15,9:30:32.983796854,T,307.54,40,309.64,80,IBM
2025-12-15,9:30:32.984293102,T,308.85,40,309.64,80,IBM
2025-12-15,9:30:33.705499898,T,307.36,40,309.64,80,IBM
2025-12-15,9:30:39.554549067,T,307.63,40,309.64,80,IBM
2025-12-15,9:30:44.412628905,T,308.86,40,309.64,80,IBM
2025-12-15,9:30:49.904632869,T,308.86,40,309.64,160,IBM
2025-12-15,9:30:53.828213260,T,307.63,40,309.64,160,IBM
2025-12-15,9:30:53.828213260,T,307.63,40,309.63,40,IBM
2025-12-15,9:30:53.828238265,T,307.63,40,309.64,160,IBM
2025-12-15,9:30:53.828238265,T,307.63,40,309.35,40,IBM
2025-12-15,9:30:53.829225606,T,307.63,40,309.35,80,IBM
2025-12-15,9:30:53.848882427,T,307.63,40,309.35,40,IBM
2025-12-15,9:30:57.864722453,T,307.63,40,309.63,80,IBM
2025-12-15,9:30:57.864978020,T,307.72,40,309.63,80,IBM
2025-12-15,9:30:57.865048168,T,309.09,40,309.63,80,IBM
2025-12-15,9:30:57.865213647,T,309.09,40,309.63,120,IBM
2025-12-15,9:30:57.865835075,T,307.72,40,309.63,120,IBM
2025-12-15,9:30:57.868937506,T,309.09,40,309.63,120,IBM
2025-12-15,9:30:57.874004568,T,307.72,40,309.63,120,IBM
2025-12-15,9:30:57.874074680,T,307.63,40,309.63,120,IBM
2025-12-15,9:30:57.882138904,T,307.63,40,309.63,80,IBM
2025-12-15,9:30:57.882725271,T,307.63,40,309.63,120,IBM
2025-12-15,9:30:57.932829651,T,307.63,40,309.63,40,IBM
2025-12-15,9:31:00.471132483,T,308.75,160,309.63,40,IBM
2025-12-15,9:31:01.141417943,T,308.78,80,309.63,40,IBM
2025-12-15,9:31:05.668895708,T,308.78,80,309.63,120,IBM
2025-12-15,9:31:05.676829663,T,308.78,80,309.63,200,IBM
2025-12-15,9:31:06.855846216,T,308.78,80,309.63,120,IBM
2025-12-15,9:31:19.560841472,T,308.78,80,309.63,160,IBM
2025-12-15,9:31:25.181341232,T,308.78,80,309.63,240,IBM
2025-12-15,9:31:26.424987086,T,308.78,80,309.63,160,IBM
2025-12-15,9:31:26.659971463,T,309.08,40,309.63,160,IBM
