DATE,TIME_M,EX,SYM_ROOT,TR_SCOND,SIZE,PRICE
2025-10-15,9:30:00.066194985,T,KO,TI,1,67.32
2025-10-15,9:30:00.449854852,T,KO,TI,2,67.34
2025-10-15,9:30:01.323414751,T,KO,,200,67.28
2025-10-15,9:30:01.323417858,T,KO,Q,200,67.28
2025-10-15,9:30:01.323420772,T,KO,I,1,67.28
2025-10-15,9:30:01.323495910,T,KO,,200,67.28
2025-10-15,9:30:01.323586168,T,KO,,200,67.28
2025-10-15,9:30:01.323883914,T,KO,F,100,67.27
2025-10-15,9:30:01.330102725,T,KO,,100,67.27
2025-10-15,9:30:01.459816698,T,KO,,100,67.265
2025-10-15,9:30:01.459816698,T,KO,,100,67.25
2025-10-15,9:30:01.460234628,T,KO,,299,67.25
2025-10-15,9:30:01.913462141,T,KO,I,3,67.28
2025-10-15,9:30:02.157655767,T,KO,,100,67.28
2025-10-15,9:30:02.158200034,T,KO,I,47,67.28
2025-10-15,9:30:02.158203010,T,KO,,225,67.28
2025-10-15,9:30:04.169504549,T,KO,,100,67.27
2025-10-15,9:30:04.169519518,T,KO,I,1,67.27
2025-10-15,9:30:05.025011964,T,KO,I,32,67.285
2025-10-15,9:30:05.025011964,T,KO,I,10,67.285
2025-10-15,9:30:05.025014918,T,KO,I,32,67.3
2025-10-15,9:30:05.025014918,T,KO,I,50,67.3
2025-10-15,9:30:05.025017939,T,KO,,200,67.3
2025-10-15,9:30:05.025020975,T,KO,,159,67.3
2025-10-15,9:30:05.025030545,T,KO,I,1,67.3
2025-10-15,9:30:05.025036035,T,KO,F I,40,67.3
2025-10-15,9:30:05.025036035,T,KO,F I,1,67.3
2025-10-15,9:30:06.245826966,T,KO,F I,5,67.28
2025-10-15,9:30:06.245826966,T,KO,F,100,67.28
2025-10-15,9:30:06.245829615,T,KO,F,200,67.28
2025-10-15,9:30:06.246202530,T,KO,F I,7,67.27
2025-10-15,9:30:06.247020859,T,KO,I,10,67.265
2025-10-15,9:30:06.247023435,T,KO,I,22,67.27
2025-10-15,9:30:06.247312173,T,KO,I,10,67.27
2025-10-15,9:30:07.535559613,T,KO,,100,67.27
2025-10-15,9:30:09.538263485,T,KO,I,2,67.275
2025-10-15,9:30:09.643637576,T,KO,F I,59,67.28
2025-10-15,9:30:09.643637576,T,KO,F I,59,67.28
2025-10-15,9:30:09.643821369,T,KO,,100,67.28
2025-10-15,9:30:09.643824222,T,KO,,200,67.28
2025-10-15,9:30:09.749222002,T,KO,I,3,67.28
2025-10-15,9:30:10.688665507,T,KO,F I,59,67.29
2025-10-15,9:30:10.688704605,T,KO,I,4,67.3
2025-10-15,9:30:10.689251996,T,KO,F,200,67.31
2025-10-15,9:30:10.689669997,T,KO,,100,67.305
2025-10-15,9:30:10.689669997,T,KO,,100,67.3
2025-10-15,9:30:10.689691031,T,KO,I,1,67.3
2025-10-15,9:30:10.690133112,T,KO,F,100,67.31
2025-10-15,9:30:10.690136166,T,KO,F,100,67.31
2025-10-15,9:30:10.690996085,T,KO,F I,57,67.31
2025-10-15,9:30:10.929073144,T,KO,F,100,67.31
2025-10-15,9:30:10.929076158,T,KO,F,100,67.31
2025-10-15,9:30:11.374560701,T,KO,I,17,67.31
2025-10-15,9:30:11.374560701,T,KO,,192,67.31
2025-10-15,9:30:11.374575210,T,KO,I,1,67.31
2025-10-15,9:30:11.374584552,T,KO,F I,7,67.31
2025-10-15,9:30:11.374587265,T,KO,F I,1,67.31
2025-10-15,9:30:11.374602304,T,KO,F I,8,67.305
2025-10-15,9:30:11.374608346,T,KO,F I,1,67.31
2025-10-15,9:30:11.374755734,T,KO,F,200,67.3
2025-10-15,9:30:11.374755734,T,KO,F,200,67.3
2025-10-15,9:30:14.331463921,T,KO,,100,67.31
2025-10-15,9:30:14.773089847,T,KO,,100,67.31
2025-10-15,9:30:15.139819250,T,KO,F,100,67.3
2025-10-15,9:30:15.140336482,T,KO,,100,67.3
2025-10-15,9:30:15.140841716,T,KO,F I,6,67.3
