DATE,TIME_M,EX,BID,BIDSIZ,ASK,ASKSIZ,SYM_ROOT
2025-12-19,9:30:01.194879794,T,98.8,200,100.1,100,TGT
2025-12-19,9:30:01.194939969,T,98.8,200,100.35,200,TGT
2025-12-19,9:30:02.822938571,T,98.8,200,100.0,100,TGT
2025-12-19,9:30:02.823078966,T,98.8,200,99.93,100,TGT
2025-12-19,9:30:02.823083935,T,98.8,200,99.44,100,TGT
2025-12-19,9:30:02.823124029,T,98.8,200,99.93,100,TGT
2025-12-19,9:30:02.823224218,T,98.8,200,100.35,200,TGT
2025-12-19,9:30:02.823229301,T,98.8,200,99.93,100,TGT
2025-12-19,9:30:02.833112771,T,98.8,200,100.0,100,TGT
2025-12-19,9:30:04.009485051,T,98.8,200,99.93,100,TGT
2025-12-19,9:30:04.078845356,T,98.8,200,100.05,100,TGT
2025-12-19,9:30:04.078845356,T,98.8,200,99.93,100,TGT
2025-12-19,9:30:04.078850370,T,98.8,200,99.5,100,TGT
2025-12-19,9:30:04.078850370,T,98.8,200,99.26,100,TGT
2025-12-19,9:30:04.078865689,T,98.8,200,99.93,100,TGT
2025-12-19,9:30:04.078865689,T,98.8,200,100.05,100,TGT
2025-12-19,9:30:04.078890483,T,98.84,100,100.05,100,TGT
2025-12-19,9:30:04.078895795,T,98.85,100,100.05,100,TGT
2025-12-19,9:30:04.078900431,T,98.85,200,100.05,100,TGT
2025-12-19,9:30:04.078915469,T,98.85,100,100.05,100,TGT
2025-12-19,9:30:04.079541995,T,98.85,100,100.28,100,TGT
2025-12-19,9:30:04.079692373,T,98.85,100,100.06,100,TGT
2025-12-19,9:30:04.079752484,T,98.85,100,100.28,100,TGT
2025-12-19,9:30:04.088428150,T,98.85,100,100.35,200,TGT
2025-12-19,9:30:04.098888124,T,98.84,100,100.35,200,TGT
2025-12-19,9:30:04.098898096,T,98.81,100,100.35,200,TGT
2025-12-19,9:30:04.098918128,T,98.8,200,100.35,200,TGT
2025-12-19,9:30:05.441787227,T,98.8,200,99.94,100,TGT
2025-12-19,9:30:05.442604144,T,98.8,200,100.35,200,TGT
2025-12-19,9:30:05.443255671,T,98.8,200,99.94,100,TGT
2025-12-19,9:30:05.446749083,T,98.8,200,100.35,200,TGT
2025-12-19,9:30:15.546229515,T,98.8,200,99.99,100,TGT
2025-12-19,9:30:15.547282041,T,98.8,200,100.35,200,TGT
2025-12-19,9:30:15.547592810,T,98.8,200,99.99,100,TGT
2025-12-19,9:30:15.547647941,T,98.8,200,100.35,200,TGT
2025-12-19,9:30:15.547698067,T,98.8,200,100.09,100,TGT
2025-12-19,9:30:16.508682460,T,98.8,200,100.35,200,TGT
2025-12-19,9:30:17.658145886,T,98.8,200,100.05,100,TGT
2025-12-19,9:30:27.236484488,T,98.8,200,99.77,100,TGT
2025-12-19,9:30:27.252607952,T,99.06,100,99.77,100,TGT
