DATE,TIME_M,EX,SYM_ROOT,TR_SCOND,SIZE,PRICE
2025-10-10,9:30:00.543373818,T,TGT,TI,1,89.0
2025-10-10,9:30:00.543379859,T,TGT,TI,1,89.01
2025-10-10,9:30:00.543382854,T,TGT,TI,31,89.03
2025-10-10,9:30:00.543494099,T,TGT,FTI,1,89.03
2025-10-10,9:30:00.543707544,T,TGT,TI,14,89.03
2025-10-10,9:30:00.543719634,T,TGT,FTI,34,89.03
2025-10-10,9:30:00.543723045,T,TGT,FTI,1,89.03
2025-10-10,9:30:00.543723045,T,TGT,FTI,1,89.03
2025-10-10,9:30:00.543725656,T,TGT,FTI,1,89.03
2025-10-10,9:30:00.544306012,T,TGT,FTI,6,89.03
2025-10-10,9:30:00.544309058,T,TGT,FTI,1,89.03
2025-10-10,9:30:00.544309058,T,TGT,FTI,1,89.03
2025-10-10,9:30:00.544348171,T,TGT,FTI,1,89.03
2025-10-10,9:30:00.816472392,T,TGT,FT,876,89.03
2025-10-10,9:30:01.165315501,T,TGT,F I,10,89.03
2025-10-10,9:30:01.165324426,T,TGT,Q,10,89.03
2025-10-10,9:30:01.273834947,T,TGT,I,1,89.03
2025-10-10,9:30:01.273847838,T,TGT,F I,1,89.03
2025-10-10,9:30:01.273850089,T,TGT,F I,1,89.03
2025-10-10,9:30:01.273852950,T,TGT,F I,1,89.03
2025-10-10,9:30:01.273856027,T,TGT,,100,89.03
2025-10-10,9:30:01.274096571,T,TGT,F I,1,89.03
2025-10-10,9:30:01.274147678,T,TGT,F I,1,89.03
2025-10-10,9:30:01.274604869,T,TGT,F I,1,89.03
2025-10-10,9:30:01.275329494,T,TGT,,100,89.03
2025-10-10,9:30:01.275332553,T,TGT,,100,89.03
2025-10-10,9:30:01.275413747,T,TGT,I,1,89.03
2025-10-10,9:30:01.275419791,T,TGT,F I,1,89.03
2025-10-10,9:30:01.275473815,T,TGT,,100,89.03
2025-10-10,9:30:01.275546070,T,TGT,,100,89.03
2025-10-10,9:30:01.275552391,T,TGT,I,1,89.03
2025-10-10,9:30:01.275552391,T,TGT,F I,1,89.03
2025-10-10,9:30:01.280640653,T,TGT,,100,89.03
2025-10-10,9:30:01.303392383,T,TGT,F,151,89.03
2025-10-10,9:30:01.303449480,T,TGT,F I,1,89.03
